#カテゴリー,#レベル,#Q,#A,#タグ
AI導入方針・ルール,全レベル共通,01. なぜ無料版のChatGPTや未承認のAIツールを業務で使ってはいけないのですか？,未承認の無料ツールは、入力したデータが意図せずAIモデルの学習に利用されたり、広告目的で二次利用されたりするリスクがあるためです。,#AI導入 #AI活用 #ChatGPT #生成AI #社内ルール
AI導入方針・ルール,全レベル共通,02. 会社推奨ツール以外のAIサービスを申請する場合、どのような条件を満たす必要がありますか？,データ保存領域が国内リージョンを選択できること、SLAが公表されていること、取り扱う業務において国内裁判所を指定できるサービスであることなどが条件になります。,#AI導入 #AI活用 #生成AI #申請 #社内ルール
AI導入方針・ルール,全レベル共通,03. AI活用の透明性はクライアントへどう確保すべきですか？,本格的にAIを活用する用途では、提案書・契約書の中に「生成AIを補助的に活用する」旨を明示し、同意を得るようにしてください。はい、本格的にAIを活用する用途では、提案書や契約書の中に「生成AIを補助的に活用する」旨を明記し、同意を得ることが推奨されます。透明性を確保し、信頼関係を優先する姿勢が大切です。本格的にAIを活用する用途では、提案書や契約書の中に「生成AIを補助的に活用する」旨を明記し、同意を得ることが原則です。,#AI導入 #AI活用 #提案 #生成AI #社内ルール
AI導入方針・ルール,全レベル共通,04. AIと効果的に付き合うための基本マインドセットは？,生成AIを「非常に優秀で素直な新入社員」だと考え、曖昧な指示ではなく、目的や背景を具体的に、丁寧に伝えることが大切です。AIを「非常に優秀で素直な新入社員」だと捉えてください。曖昧な指示ではなく、目的や背景を具体的に、丁寧に伝えることで、期待を超える成果が得られます。,#AI導入 #AI活用 #生成AI #社内ルール
AI導入方針・ルール,全レベル共通,05. 会社がAI導入を進める主な目的は何ですか？,業務の効率化やアウトプットの質の向上、情報整理の支援を目的として、生成AIを補助的に活用することです。AIは判断を「補う」ツールとして活用され、個人とチーム全体にゆとりが生まれることを目指しています。,#AI導入 #AI活用 #生成AI #社内ルール
AI導入方針・ルール,全レベル共通,06. 会社がAI導入で目指す主な目的は何ですか？,業務の効率化やアウトプットの質の向上、情報整理の支援を目的として、生成AIを補助的に活用することです。,#AI導入 #AI活用 #生成AI #社内ルール
AI導入方針・ルール,全レベル共通,07. AIを「単なる道具」ではなく「戦略的パートナー」として活用するためのスキルとは？,目的達成のために、専門性を持つ複数のAIアシスタントをどのように連携させ、協働させるかという、より高度で戦略的な思考フレームワークを習得することです。,#AI導入 #AI活用 #生成AI #社内ルール
コード改善と最適化,上級者,01. あるプログラミング言語で書かれたコードを、別の言語に移植（変換）することはできますか？,はい、可能です。「このPythonのデータ処理スクリプトを、機能的に等価なJavaScript（Node.js）のコードに変換してください。依存ライブラリも考慮してください」のように、変換元と変換先の言語、そして依存関係にも言及します。,#コード変換 #移植 #Python #JavaScript #上級者
コード改善と最適化,中級者,02. コードの可読性を上げるために、コメントを自動で追加させることはできますか？,はい。「このJavaScriptの関数について、JSDoc形式で各パラメータと返り値、そして関数の目的を説明するコメントを追加してください」と、コメントの形式を指定して依頼します。,#リファクタリング #コメント #ドキュメンテーション #可読性 #JavaScript
コード改善と最適化,中級者,03. パフォーマンスが悪いコードを高速化するための改善案を提案させるには？,「このSQLクエリは実行に時間がかかります。インデックスの追加やJOINの改善など、パフォーマンスを向上させるための具体的な方法を3つ提案してください」と、ボトルネックとなっている箇所と改善策の方向性を示唆しつつ依頼します。,#最適化 #パフォーマンス #高速化 #SQL #リファクタリング
コード改善と最適化,初心者,04. もっと効率的で「Pythonらしい」書き方（Pythonic）に修正してほしい時は？,「このPythonのforループは、よりPythonicなリスト内包表記で書き直すことができますか？」のように、具体的な改善の方向性（例: Pythonic、高速化）を示して依頼すると効果的です。,#リファクタリング #Python #Pythonic #コード改善 #初心者
コード生成と補完,上級者,01. 特定のデザインパターン（例: シングルトンパターン）を使ってクラスを設計してほしいのですが。,「Javaで、スレッドセーフなシングルトンパターンを実装したデータベース接続管理クラスを作成してください」のように、「言語」「使用するデザインパターン」「クラスの目的」を明確に指定して依頼します。,#コード生成 #デザインパターン #Java #設計 #上級者
コード生成と補完,中級者,02. APIから取得した複雑なJSONデータを処理するコードを生成するコツは？,まず、JSONデータのサンプルをAIに提示し、その構造を理解させます。その上で、「このJSON構造から、'user'オブジェクト内の'name'と'email'だけを抽出してリスト化してください」のように、具体的な抽出ルールを指示します。,#コード生成 #API #JSON #データ処理 #Python
コード生成と補完,中級者,03. 正規表現のパターンを生成してほしい時、どのように依頼すればいいですか？,「日本の郵便番号（XXX-XXXX形式）にマッチする正規表現を生成してください」や、「メールアドレスのフォーマットを検証する正規表現を、一般的な基準で作成してください」のように、マッチさせたい文字列の具体的なパターンやルールを伝えます。,#コード生成 #正規表現 #regex #バリデーション #中級者
コード生成と補完,初心者,04. 特定のライブラリ（例: Pandas）を使った基本的なコードを生成してほしい時、どう頼めばいいですか？,「Pandasを使ってCSVファイルを読み込み、特定の列（'年齢'）の平均値を計算するPythonコードを書いてください」のように、「ライブラリ名」「やりたいこと」「言語名」を具体的に指定します。,#コード生成 #Python #Pandas #初心者 #ライブラリ
